"names";"gls";"gp";"ast";"pass";"pra";"tkl";"tklra";"wra";"glspm";"astpm";"tklpm";"gppm";"passpm"
"Astyl3182";10;15;5;273;67;52;27;40;67;33;3,5;4;18
"BastienMunoz";8;14;2;93;62;9;27;35;57;14;0,6;4;7
"BimBim_82";55;177;52;4108;76;600;30;43;31;29;3,4;46;23
"e3-17-2786";0;0;0;0;0;0;0;0;NA;NA;NA;0;NA
"enezios";2;5;1;31;65;3;12;20;40;20;0,6;1;6
"flodep82";1;2;1;19;86;0;0;0;50;50;0;1;10
"hardshoot8";67;144;51;2084;74;200;24;44;47;35;1,4;37;14
"kristof8282";0;4;1;55;78;7;29;25;0;25;1,8;1;14
"Licha_82";24;54;10;492;73;45;27;35;44;19;0,8;14;9
"Nico-Asc02";1;5;2;253;70;37;21;20;20;40;7,4;1;51
"Oo-KULTE-oO";53;122;21;1037;68;122;17;31;43;17;1;31;8
"pinchou03";141;265;210;13607;75;2296;41;42;53;79;8,7;68;51
"res-p_82";193;222;70;2917;71;333;21;45;87;32;1,5;57;13
"Romain_trt";28;51;14;457;71;36;29;49;55;27;0,7;13;9
"Roots-oufil";37;85;35;2209;72;346;41;36;44;41;4,1;22;26
"Splinter_82";19;64;9;463;69;21;16;40;30;14;0,3;16;7
"zokoo82";3;18;2;144;62;18;24;27;17;11;1;5;8
